title,href,page_url,pdf_url,file,status,bytes
"Abandoned Properties (Management) Act, 1975",UY2FqaJw1-apaUY2Fqa-bpuUY2Fp-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-bpuUY2Fp-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorc1450a7f4f2b3b5b93d09aca3418aa92.pdf,"C:\1-FYP\PDF-Files\Abandoned Properties (Management) Act, 1975.pdf",downloaded,263151
"Abolition of the Discretionary Quotas in Housing Schemes Act, 2013",UY2FqaJw1-apaUY2Fqa-apaUY2Fqa5Y%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apaUY2Fqa5Y%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorf5f49a4429dd692cd8f62e0896ceaea2.pdf,"C:\1-FYP\PDF-Files\Abolition of the Discretionary Quotas in Housing Schemes Act, 2013.pdf",downloaded,235333
"Abolition of the Punishment of Whipping Act, 1996",UY2FqaJw1-apaUY2Fqa-apqVaw%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apqVaw%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorb0f20899a54bf55feeef52b006436462.pdf,"C:\1-FYP\PDF-Files\Abolition of the Punishment of Whipping Act, 1996.pdf",downloaded,645770
"Access to the Media (Deaf) Persons Act, 2022",UY2FqaJw1-apaUY2Fqa-apaUY2Npa5lqZw%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apaUY2Npa5lqZw%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorab60438084b9bd5206a6cb3a3acba423.pdf,"C:\1-FYP\PDF-Files\Access to the Media (Deaf) Persons Act, 2022.pdf",downloaded,267174
"Acting as Agents of Moallims (Prohibition) Ordinance, 1980",UY2FqaJw1-apaUY2Fqa-cp6a-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cp6a-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratora5563f831fa9feac0647bf8cd6c3872c.pdf,"C:\1-FYP\PDF-Files\Acting as Agents of Moallims (Prohibition) Ordinance, 1980.pdf",downloaded,505275
"Admiralty Jurisdiction of High Courts Ordinance, 1980",UY2FqaJw1-apaUY2Fqa-cp2c-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-cp2c-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administratorb34362be18405a0754066473ad4b3b23.pdf,"C:\1-FYP\PDF-Files\Admiralty Jurisdiction of High Courts Ordinance, 1980.pdf",downloaded,161631
"Agha Khan University Examination Board Ordinance, 2002",UY2FqaJw1-apaUY2Fqa-apaUY2Npa5pibg%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apaUY2Npa5pibg%3D%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator2a937858d3c97702ba755b24bb70c4f2.pdf,"C:\1-FYP\PDF-Files\Agha Khan University Examination Board Ordinance, 2002.pdf",downloaded,517913
"Agricultural Development Bank of Pakistan (Reorganization and Conversion) Ordinance, 2002",UY2FqaJw1-apaUY2Fqa-apaUY2FuZ58%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apaUY2FuZ58%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator95e7dc646919577998f4706dc8b82ccd.pdf,"C:\1-FYP\PDF-Files\Agricultural Development Bank of Pakistan (Reorganization and Conversion) Ordinance, 2002.pdf",downloaded,239485
"Agricultural Pesticides Ordinance, 1971",UY2FqaJw1-apaUY2Fqa-bpuUY2Fq-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-bpuUY2Fq-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator4885b870ed8d993fd7c01e46294a9251.pdf,"C:\1-FYP\PDF-Files\Agricultural Pesticides Ordinance, 1971.pdf",downloaded,795040
"Air University Ordinance, 2002",UY2FqaJw1-apaUY2Fqa-apaUY2FtbpY%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/english/UY2FqaJw1-apaUY2Fqa-apaUY2FtbpY%3D-sg-jjjjjjjjjjjjj,https://pakistancode.gov.pk/pdffiles/administrator23cf8531c1bb18ee9791c55a73748fda.pdf,"C:\1-FYP\PDF-Files\Air University Ordinance, 2002.pdf",downloaded,370528
